Time,CPU Percentage,CPU Thread 1,CPU Thread 2,CPU Thread 3,CPU Thread 4,CPU Thread 5,CPU Thread 6,CPU Thread 7,CPU Thread 8,CPU Thread 9,CPU Thread 10,CPU Thread 11,CPU Thread 12,Bandwidth Usage
1724919633.0153692,1.3,4.0,1.0,3.0,0.0,5.1,3.1,1.0,3.0,1.0,1.0,1.0,0.0,713719680
1724919635.0172524,5.9,9.2,6.2,10.1,20.0,15.3,16.3,10.9,12.9,12.9,10.4,9.9,9.1,713736812
1724919637.0196087,3.5,17.2,4.1,18.4,0.0,12.0,8.1,16.3,4.0,6.1,16.8,4.0,12.1,713736898
1724919639.0217493,1.4,10.1,0.0,4.0,1.0,2.0,4.0,2.2,1.0,4.0,3.1,1.0,5.1,713739829
1724919641.0241868,14.5,3.1,0.0,7.1,1.0,6.0,2.0,1.1,2.0,0.0,3.1,0.0,2.0,713741913
1724919643.026548,3.9,7.1,1.0,5.0,1.0,4.0,2.0,1.1,3.0,0.0,4.0,2.0,3.0,713750553
1724919645.028497,2.1,3.1,0.0,9.0,1.0,5.0,2.0,2.1,0.0,0.0,2.0,0.0,0.0,713752653
1724919647.0307221,1.8,2.0,0.0,4.0,2.0,4.0,4.0,3.3,1.0,0.0,3.0,0.0,0.0,713760225
1724919649.0331883,4.5,14.1,0.0,12.0,1.0,9.0,5.0,6.2,2.0,3.0,3.0,1.0,1.0,713760225
1724919651.0355828,2.9,10.0,0.0,7.1,0.0,3.0,3.1,2.4,0.0,0.0,6.0,1.0,0.0,713762137
1724919653.0376894,1.5,4.0,4.1,8.2,0.0,6.1,2.0,3.5,0.0,0.0,5.1,1.0,0.0,713772775
1724919655.0397806,4.2,10.2,0.0,11.3,0.0,5.1,5.0,5.4,1.0,0.0,1.0,1.0,1.0,713772775
1724919657.0419018,3.9,8.1,1.0,8.2,1.0,5.1,6.9,3.3,3.0,1.0,3.0,1.0,0.0,713774789
1724919659.0434427,2.9,9.0,1.0,7.0,0.0,3.1,4.0,1.0,2.0,0.0,0.0,0.0,1.0,713776959
1724919661.045861,0.2,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,713786787
1724919663.0485198,0.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,713788785
1724919665.051285,0.2,13.1,0.0,14.1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,713790955
1724919667.0528374,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,713791041
1724919669.0563607,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,713793039
1724919671.0590112,3.3,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,713803591
1724919673.0615983,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,713817981
1724919675.0642083,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,713819893
1724919677.0669305,0.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,713821891
1724919679.069821,0.4,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,713830617
1724919681.072935,0.4,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,713832529
1724919683.0755503,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713832603
1724919685.0774646,0.2,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,713843698
1724919687.080223,0.6,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,713845782
1724919689.0828102,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,713857218
1724919691.0853848,1.0,4.0,0.0,2.0,0.0,1.0,3.0,2.9,0.0,0.0,0.0,0.0,1.0,713871329
1724919693.0879698,0.4,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,713873709
1724919695.0905104,0.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713874005
1724919697.0931754,0.3,3.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,713889147
1724919699.0961406,0.8,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,713892140
1724919701.0986524,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,713892226
1724919703.1012034,2.4,4.0,6.1,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,713894372
1724919705.1033416,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,713896370
1724919707.1065938,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,713905182
1724919709.1111743,0.3,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,713907180
1724919711.1140616,0.3,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,713909240
1724919713.1178925,0.4,2.0,3.1,7.1,0.0,5.0,1.0,1.1,1.0,0.0,2.0,0.0,0.0,713909326
1724919715.1208756,4.5,10.2,0.0,12.1,0.0,7.1,6.1,3.2,2.0,0.0,1.0,0.0,1.0,713920380
1724919717.1231303,2.0,13.1,0.0,2.1,0.0,5.1,1.0,1.0,3.0,4.1,1.0,1.0,0.0,713922464
1724919719.1264985,0.5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713922464
1724919721.1298265,0.3,4.0,7.1,13.1,0.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,713924376
1724919723.1337438,0.3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,713925011
1724919725.1380773,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,713936716
1724919727.1407814,0.2,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,713938776
1724919729.143565,0.2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,713938776
1724919731.1464899,3.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,713940774
1724919733.1494782,0.2,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,713947340
1724919735.1522107,3.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,713951552
1724919737.1556232,0.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,713953464
1724919739.158497,0.1,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713955376
1724919741.1611001,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,713955376
1724919743.1635785,0.4,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713966116
1724919745.1656878,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,713968200
1724919747.1678398,0.8,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,713968200
1724919749.1705093,0.4,3.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,713984828
1724919751.173224,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713986740
